ID,Current_Job,Career_Interest,Qualification,Years_of_experience,Industry
56, Frontend Developer ,Market Researcher,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",10,Consumer Products & Services
57, Frontend Developer ,Operations Manager,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",5,Consumer Products & Services
58, Web Developer ,Project Manager,"Certified Nonprofit Professional (CNP), Fundraising Certification",8,Consumer Products & Services
59, Business Development Manager,Public Relations Specialist,"Conflict Resolution Training, Certified International Trade Professional (CITP)",0,Health
60, FullStack Web Developer,Real Estate Agent,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",5,Software
61, React Native Developer,Sales Manager,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",6,Software
62, Global business developer,Stockbroker,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",4,Food & Beverage
63, Freelance Web Developer ,Tax Advisor,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",10,Manufacturing
64, Head of Unit/Spa Consultant,College Professor,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",7,Software
65, Software Engineer ,Curriculum Developer,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",8,Financial Services
66, Freelance Web Developer,Educational Therapist,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",15,Construction
67, Product Manager ,Guidance Counselor,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,Government Services
68, Content Manager ,Instructional Designer,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",0,Software
69, Mobile Engineer ,Language Teacher,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",6,Health
70, Frontend Engineer ,Librarian,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",5,Food & Beverage
71, Business Development Manager,Preschool Teacher,"AWS Certified Solutions Architect, Microsoft Certified: Azure Developer Associate",5,Energy
72, Intermediate Software Engineer,School Principal,"Cisco Certified Network Associate (CCNA), CompTIA Security+",4,Consumer Products & Services
73, Frontend Web Developer,Special Education Teacher,Certified Clinical Research Professional (CCRP),10,Software
74, Applinet Technology,Teacher,"Licensed Professional Counselor (LPC), Certified Mental Health Counselor (CMHC)",10,Software
75, Digital Strategist || E,Teacher Trainer,"Chartered Financial Analyst (CFA), Certified Management Accountant (CMA)",6,Environmental Services
76, Software Engineer ,Tutor,Certified SolidWorks Associate (CSWA),3,Health
77, Engineering Manager ,Aerospace Engineer,Microsoft Certified: Azure Fundamentals,7,Logistics & Transportation
78, AI Team Lead ,Biomedical Engineer,Google Data Analytics Professional Certificate,3,Government Services
79, Web Designer ,Chemical Engineer,"Lab Safety Certification (OSHA), Hazardous Waste Operations and Emergency Response Standard (HAZWOPER)",15,Construction
80," Real Estate Broker, Marketer and Web ...",Civil Engineer,"LEED Green Associate, Certified Environmental Professional (CEP)",10,Consumer Products & Services
81, Software Developer ,Computer Engineer,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",5,Health
82, Freelance Graphic Designer,Data Scientist,Biomedical Engineering Certificate,10,Logistics & Transportation
83, Lead Android Developer ,Electrical Engineer,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",10,Software
84," Founder, Head of Growth & Web Developer",Industrial Engineer,Teaching English as a Foreign Language (TEFL),7,Construction
85, Data Analyst ,Marine Engineer,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",10,Advertising & Marketing
86, Enterprise Sales Executive ,Mechanical Engineer,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",10,Financial Services
87, Fullstack Software Engineer ,Network Engineer,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",11,Business Products & Services
88, Business Development Officer ,Robotics Engineer,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",10,Consumer Products & Services
89, Web Developer,Software Developer,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",8,Security
90, Digital Marketing Specialist,Software Engineer,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",10,IT System Development
91, Sales Manager ,Systems Engineer,"National Board Certification (NBCT), Google Certified Educator",6,Human Resources
92, Founder & CEO ,Web Developer,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",10,Government Services
93, Business Analyst ,Acupuncturist,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",10,Health
94, Business Development Manager,Anesthesiologist,"Certified Mediator, Certified Ethical Hacker (CEH)",4,Retail
95, Lead Digital Strategist ,Cardiologist,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",10,Telecommunications
96, Wordpress Developer ,Chiropractor,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",9,Advertising & Marketing
97, Web Designer ,Dentist,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",5,Health
98, Information Technology Instructor,Dental Hygienist,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",8,Financial Services
99, IT Support Specialist ,Dietician,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",10,Logistics & Transportation
100, Ex: phastMoney,Emergency Medical Technician (EMT),"Certified Stage Combatant, Actor's Equity Association Membership",10,Logistics & Transportation
101, Managing Director ,Family Physician,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",10,Construction
102, Expert Web Developer and ...,Genetic Counselor,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",8,Financial Services
103, Senior Developer ,Massage Therapist,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",3,Software
104, Wordpress Developer,Medical Assistant,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",3,Government Services
105, Senior Product Manager ,Nurse,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",7,Construction
106, Sendstack,Occupational Therapist,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",10,Software
107, Stoke,Optometrist,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",10,Business Products & Services
108," Stirling, Scotland, United Kingdom",Orthodontist,"National Certified Counselor (NCC), Certified Cognitive-Behavioral Therapist (CBT)",3,Business Products & Services
109, Software Programmer ,Pharmacist,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",10,Software
110,Founder,Physical Therapist,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",12,Government Services
111, RBC,Physician Assistant,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Retail
112, I.B.O TECH CONSULTS,Psychologist,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",7,Government Services
113, Lead Software QA Engineer,Radiologist,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Advertising & Marketing
114, Marketing Consultant ,Registered Nurse (RN),"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",9,Health
115, Product management Tutor,Speech-Language Pathologist,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",8,Food & Beverage
116, Director of Operations,Surgeon,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",10,Software
117," Sheffield, England, United Kingdom",Veterinarian,"Google Ads Certification, Facebook Blueprint Certification",6,Construction
118, AfRipul Group,Lawyer,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",10,Education
119, Business Development Specialist,Law Enforcement Officer,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",9,Logistics & Transportation
120, Founder ,Paralegal,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",10,Human Resources
121, Marketing Manager ,Politician,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Logistics & Transportation
122, Digital Marketing Strategist,Social Worker,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",10,Financial Services
123," Cardiff, Wales, United Kingdom",Astronomer,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",12,Business Products & Services
124, Executive Project Manager ,Biochemist,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",5,Consumer Products & Services
125, Customer Service Manager ,Biologist,"Accredited in Public Relations (APR), Crisis Communication Certification",2,Logistics & Transportation
126, Inlaks,Chemist,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",10,Health
127, ZeroComplex AI,Climatologist,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",5,Business Products & Services
128, Account Research Specialist,Ecologist,"Certified Nonprofit Professional (CNP), Fundraising Certification",7,Health
129, Director of Physiotherapy Services,Geologist,"Conflict Resolution Training, Certified International Trade Professional (CITP)",10,Business Products & Services
130, Immaculate Services,Marine Biologist,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",10,Telecommunications
131, Automotive Service Advisor,Mathematician,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Manufacturing
132, Administrative Manager ,Meteorologist,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",8,Business Products & Services
133, Assitant project manager,Paleontologist,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",5,Health
134, Content Analyst,Physicist,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",10,Consumer Products & Services
135, Credit Analyst ,Research Scientist,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Security
136, Account/Admin officer ,Statistician,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Software
137, Temajiks Global Ventures,Counselor,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",6,Health
138, Android Developer,Life Coach,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",12,Consumer Products & Services
139, Founder ,Probation Officer,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",12,IT System Development
140," London, England, United Kingdom",Social Worker,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",5,Computer Hardware
141, Federal Medical Centre Abeokuta,Therapist,"AWS Certified Solutions Architect, Microsoft Certified: Azure Developer Associate",4,Consumer Products & Services
142, i,Barber,"Cisco Certified Network Associate (CCNA), CompTIA Security+",8,Government Services
143, Lead Account Management ,Carpenter,Certified Clinical Research Professional (CCRP),8,Energy
144," Middlesbrough, England, United Kingdom",Electrician,"Licensed Professional Counselor (LPC), Certified Mental Health Counselor (CMHC)",10,Government Services
145, Human Resources Administrative Assistant,Hairdresser,"Chartered Financial Analyst (CFA), Certified Management Accountant (CMA)",12,Business Products & Services
146, Chaintum Research,HVAC Technician,Certified SolidWorks Associate (CSWA),15,Construction
147, HDE Global ...,Landscaper,Microsoft Certified: Azure Fundamentals,5,Government Services
148, Friedrich Schiller University Jena,Mechanic,Google Data Analytics Professional Certificate,4,Logistics & Transportation
149, Eastgate Films,Plumber,"Lab Safety Certification (OSHA), Hazardous Waste Operations and Emergency Response Standard (HAZWOPER)",3,Telecommunications
150, Founder ,Welder,"LEED Green Associate, Certified Environmental Professional (CEP)",7,Advertising & Marketing
151, System Administration Specialist,Athletic Trainer,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",10,Financial Services
152, Marketing Assistant ,Event Planner,Biomedical Engineering Certificate,3,Software
153, Nord Automobiles Limited,Fitness Instructor,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",5,Construction
154, Social Media Manager ,Flight Attendant,Teaching English as a Foreign Language (TEFL),3,Software
155, BeeSage,Hospitality Manager,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",10,Logistics & Transportation
156, University of South Wales,Pilot,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",5,Advertising & Marketing
157, Mentor ,Travel Agent,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",8,Software
158, Chatham Financial,Illustrator,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",10,Government Services
159," Head, Admin Operations",Industrial Designer,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",8,Human Resources
160, Founder ,Interior Designer,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",7,Consumer Products & Services
161, Performance and Improvement Officer,Jewelry Designer,"National Board Certification (NBCT), Google Certified Educator",6,Manufacturing
162, Head of Customer Success,Landscape Architect,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",5,Security
163, Black Women Blockchain Council,Lighting Designer,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",10,Energy
164, Customer Service Representative,Makeup Artist,"Certified Mediator, Certified Ethical Hacker (CEH)",6,Software
165, Customer Success Manager,Musician,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",10,IT Management
166, ATB Financial,Music Producer,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",5,Consumer Products & Services
167," Murray, Kentucky, United States",Photographer,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",5,Consumer Products & Services
168, Senior Brand Executive,Public Relations Specialist,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",10,Health
169, Afe Babalola University,Set Designer,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",10,Government Services
170, COUNTRY BOARD NON,Songwriter,"Certified Stage Combatant, Actor's Equity Association Membership",3,Software
171," Diamond Investment,LLC ...",Sound Designer,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",10,Advertising & Marketing
172, Product Manager ,Special Effects Artist,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",10,Advertising & Marketing
173, Solar Installer / Technician,Stylist,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",3,Consumer Products & Services
174, inssurance ,Tattoo Artist,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",10,Advertising & Marketing
175, Entrepreneur In Residence,Teacher,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",10,Business Products & Services
176," Nairobi County, Kenya",Urban Planner,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",0,Software
177, Car Rental Assistant ,Video Editor,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",10,Environmental Services
178, Management Associate ,Video Game Designer,"National Certified Counselor (NCC), Certified Cognitive-Behavioral Therapist (CBT)",8,Advertising & Marketing
179, Georgia State University,Web Designer,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",7,Consumer Products & Services
180, Managing Director ,Writer,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",12,Energy
181, CTO ,Accountant,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Manufacturing
182, Aptum,Actuary,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",6,Advertising & Marketing
183, Solutions Architect ,Auditor,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,IT Management
184," Furzton, England, United ...",Business Analyst,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",7,Software
185, Sole Trader ,Business Consultant,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Health
186, Teesside University,Entrepreneur,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",10,Business Products & Services
187, Project Team Lead ,Financial Analyst,"Google Ads Certification, Facebook Blueprint Certification",8,Construction
188, Application Engineer ,Human Resources Manager,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",10,Food & Beverage
189, Engagement Lead and ...,Insurance Agent,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",5,Food & Beverage
190, Lead Planner ,Investment Banker,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",8,Retail
191, مكلنبورغ فوربومرن Buchholz ألمانيا,Loan Officer,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",8,Food & Beverage
192, Deputy CEO ,Marketing Manager,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",6,Manufacturing
193, Data Analyst ,Market Researcher,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",3,Government Services
194, Registered Branch Manager,Operations Manager,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Government Services
195, Business Developer ,Project Manager,"Accredited in Public Relations (APR), Crisis Communication Certification",5,Logistics & Transportation
196, Kian Smith Group,Public Relations Specialist,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",5,Energy
197, ADNOC Distribution,Real Estate Agent,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Real Estate
198, International Billboard Advertising,Sales Manager,"Certified Nonprofit Professional (CNP), Fundraising Certification",7,Government Services
199, Intron Health,Stockbroker,"Conflict Resolution Training, Certified International Trade Professional (CITP)",8,Software
200, HSE Inspector,Tax Advisor,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",10,Advertising & Marketing
201, The African Leadership University,College Professor,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",3,Software
202, Universidade de Trás,Curriculum Developer,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",5,Advertising & Marketing
203, Software Engineer ,Educational Therapist,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",5,Business Products & Services
204, Quality Assurance Test Engineer,Guidance Counselor,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",10,Telecommunications
205, Corporate Assistant manager,Instructional Designer,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",8,Construction
206, User Experience Designer ,Language Teacher,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Consumer Products & Services
207, Marketing Lead ,Librarian,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,Manufacturing
208, Indonesia | Profil Profesional,Preschool Teacher,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Real Estate
209, Vendition ,School Principal,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Advertising & Marketing
210, wfa ,Special Education Teacher,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",4,Advertising & Marketing
211, Develhope,Teacher,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",10,Construction
212, E.S.T(École Supérieure de Technologie),Teacher Trainer,Biomedical Engineering Certificate,6,Education
213, Emigreat (Techstars '23),Tutor,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",7,Health
214, Chairman of the Board/Founder/Idea ...,Aerospace Engineer,Teaching English as a Foreign Language (TEFL),5,Engineering
215, Bangladesh | Professional Profile,Biomedical Engineer,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",0,Business Products & Services
216, cole minwrs,Chemical Engineer,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",4,Energy
217," Jagakarsa, Jakarta Raya, Indonesia",Civil Engineer,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",4,Software
218, Logistics Supervisor ,Computer Engineer,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",4,Financial Services
219, Production Technician ,Data Scientist,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",10,Human Resources
220, Udemy Alumni ,Electrical Engineer,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",5,Computer Hardware
221, Team Leader ,Industrial Engineer,"National Board Certification (NBCT), Google Certified Educator",5,Retail
222, Community Manager ...,Marine Engineer,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",8,Software
223, Técnico laboratorio ,Mechanical Engineer,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",7,Advertising & Marketing
224, Propietario ,Network Engineer,"Certified Mediator, Certified Ethical Hacker (CEH)",10,Software
225, Assistant Manager ,Robotics Engineer,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",12,Food & Beverage
226, Informa Markets,Software Developer,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",9,Energy
227, Full Stack Engineer ,Software Engineer,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",7,Government Services
228, Business Owner ,Systems Engineer,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",7,Health
229, INSEAD ,Web Developer,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",10,IT System Development
230, Temuco ...,Acupuncturist,"Certified Stage Combatant, Actor's Equity Association Membership",10,Construction
231, Università degli Studi di Napoli 'Parthenope',Anesthesiologist,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",10,Health
232, CAFFE PALADAR Firenze,Cardiologist,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",8,Education
233, Jerez de la Frontera y ...,Chiropractor,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",3,Logistics & Transportation
234, Networker ,Dentist,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",5,Software
235, teknisi elektromedik ,Dental Hygienist,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",0,Computer Hardware
236, Freelance,Dietician,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",5,IT Management
237, Psychologist/Data Analyst,Emergency Medical Technician (EMT),"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",5,Health
